               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083501,            0.029722,             0.01404,             0.70027,             0.29213,              0.1844,            0.076417,            0.053937,            0.016242,            0.005118,              0.0701,           0.0033223,           0.0033223
                   1,             0.05817,            0.024896,           0.0052389,             0.67821,             0.26373,              0.1799,            0.094163,            0.050738,            0.014226,           0.0044679,            0.039968,           0.0065238,           0.0065238
